僻	（pi;rb,pi;rx）
僼	（fg;rd,fg;rl）
僽	（vb;ri）
僾	（ai;ra）
僿	（sl;rs）
儀	（yi;ry）
儁	（jp;rg,jp;rj）
儂	（ns;rn）
儃	（ij;rd,tj;rd,uj;rd）
億	（yi;ry）
儅	（dh;rd）
儆	（jy;rj）
儇	（xr;rh,xr;ry）
儈	（ky;rh）
儉	（jm;rq）
儊	（iu;ri）
儋	（dj;rv,dj;ry）
儌	（jc;rj,jc;rw）
儍	（ua;rw）
儎	（zl;rz）
儏	（cj;rc,cj;rm）
儐	（bn;rb）
儑	（an;rs）
儒	（ru;rx）
儓	（tl;rt）
儔	（ib;ru）
儕	（il;rq）
儖	（lj;rj）
儗	（ni;ry,yi;ry）
儘	（jn;rj）
儙	（qm;rq）
儚	（mg;rm,mg;rx）
儛	（wu;rw）
儜	（ny;rn）
儝	（qs;rr）
儞	（ni;re）
償	（ih;ru）
儠	（lx;rl）
儡	（lz;rl,lz;rt）
儢	（lv;rs）
儣	（kd;rg）
儤	（bk;rb）
儥	（yu;rm,yv;rm）
儦	（bc;rb,bc;rd,bc;rh）
儧	（zj;rz）
儨	（vi;rv）
儩	（si;rc）
優	（yb;rw）
儫	（hk;rh）
儬	（qy;rj,qy;rl）
儭	（if;rj,if;rq）
儮	（li;rl,li;rv）
儯	（tg;rm）
儰	（wz;rw）
儱	（ls;rl）
儲	（iu;rv）
儳	（ij;ri,ij;rt）
儴	（rh;rx,xd;rx）
儵	（uu;rh）
儶	（hv;rj,hv;rk,xx;rj,xx;rk）
儷	（li;rl）
儸	（lo;rl,lo;rw）
儹	（zj;rz）
儺	（no;rn）
儻	（th;rd）
儼	（yj;rg,yj;ry）
儽	（lz;rl,lz;rs）
儾	（nh;rn）
儿	（er;pg）
兀	（wu;ae,wu;ag,wu;he,wu;hg）
允	（yp;se）
兂	（zj;ag,zj;hg）
元	（yr;aw,yr;ee,yr;hw）
兄	（xs;ke）
充	（is;dy,is;es,is;wy）
兆	（vk;dd,vk;ed）
兇	（xs;ex）
先	（xm;en,xm;ne）
光	（gd;ea,gd;eh,gd;xw）
兊	（dv;by,dv;eg,rv;by,rv;eg,yt;by,yt;eg）
克	（ke;eg,ke;ux）
兌	（dv;bx,dv;ek,rv;bx,rv;ek,yt;bx,yt;ek）
免	（mm;de,mm;dm）
兎	（tu;pd）
兏	（ih;ie,vh;ie）
児	（er;ej）
兑	（dv;bx,dv;ek）
兒	（er;ej,er;je）
兓	（jn;aw,jn;hw,jn;ww）
兔	（tu;dd）
兕	（si;ea）
兖	（yj;de,yj;ly,yj;we）
兗	（yj;dx,yj;lx,yj;wx）
兘	（ui;yt）
兙	（ui;ku）
党	（dh;dx,dh;ek,dh;xx）
兛	（qm;kq）
兜	（db;be,db;ek）
兝	（ff;kf）
兞	（hk;km）
兟	（uf;xx）
兠	（db;be,db;eb）
兡	（bl;kb）
兢	（jy;kk,jy;ue）
兣	（li;kl）
兤	（hd;gg）
入	（ru;pd）
兦	（wh;ra,wh;rv）
內	（nz;kr）
全	（qr;rw）
兩	（ld;ar,ld;hr）
兪	（uu;rd,yu;rd,yv;rd）
八	（ba;pd）
公	（gs;bs,gs;sb）
六	（lq;db,lq;dd,lq;wb,lu;db,lu;dd,lu;wb）
兮	（xi;bk）
兯	（hj;be）
兰	（lj;bs,lj;qe）
共	（gs;bc,gs;cb）
兲	（tm;wb）
关	（gr;bt,gr;qd）
兴	（xy;ba,xy;bh,xy;db）
兵	（by;qb）
其	（qi;ad,qi;ba,qi;bh,qi;hb）
具	（ju;ba,ju;bh,ju;bq,ju;qb,jv;ba,jv;bh,jv;bq,jv;qb）
典	（dm;ba,dm;bd,dm;bh）
兹	（ci;by,ci;qy,zi;by,zi;qy）
兺	（bp;fb）
养	（yh;ya,yh;yp,yh;yu）
